product_name,product_type,brand,category
Instant Noodles,Noodles,Maggi,Food
Soft Drinks,Beverages,Coca-Cola,Beverages
Fruit Juices,Beverages,Tropicana,Beverages
Biscuits,Biscuits,Parle-G,Food
Potato Chips,Snacks,Lays,Snacks
Toothpaste,Oral Care,Colgate,Personal Care
Shampoo,Hair Care,Dove,Personal Care
Soap,Bath & Body,Lux,Personal Care
Deodorant,Deodorant,Axe,Personal Care
Face Cream,Skin Care,Glow & Lovely (formerly Fair & Lovely),Skin Care
Detergent Powder,Laundry,Surf Excel,Household Care
Floor Cleaner,Household Cleaner,Lizol,Household Cleaning
Dishwashing Liquid,Household Cleaner,Vim,Household Cleaning
Toilet Cleaner,Household Cleaner,Harpic,Household Cleaning
Air Freshener,Household Care,Odonil,Household Care
Sanitary Napkins,Feminine Hygiene,Whisper,Health & Wellness
Vitamins,Health Supplements,Revital,Health & Wellness
Hand Sanitizer,Health & Hygiene,Dettol,Health & Wellness
Pain Relief Gel,Health Care,Volini,Health Care
Breakfast Cereal,Cereal,Kellogg's,Packaged Food
Ready-to-Eat Meals,Packaged Food,MTR,Packaged Food
Chocolate,Confectionery,Cadbury Dairy Milk,Confectionery
Ice Cream,Dairy & Frozen,Amul,Dairy & Frozen Food
Baby Diapers,Baby Care,Pampers,Baby Care
Baby Lotion,Baby Care,Johnson's Baby,Baby Care
Rice,Staples,Various Local Brands,Food (Staples)
Cornflakes,Cereal,Kellogg's,Packaged Food
